"","...1","year","quarter_cycle","GDP_growth_qt","DSPIC_change_pct","UNRATE","CPIAUCSL","R_majorvote_pct","D_majorvote_pct","H_incumbent_party_majorvote_pct","CPIAUCSL.ave","days_until_election","support","emonth","party","R_totalvote_pct","D_totalvote_pct","winner_party","R_support","D_support","R_difference","D_difference"
"1",1,1960,5,71.998,1.155657224,5.2,29.37,45.65,54.35,54.35,29.5525,18.5,56,10,"D",44.83,53.38,"D",NA,56,NA,2.62
"2",1,1960,5,71.998,1.155657224,5.2,29.37,45.65,54.35,54.35,29.5525,18.5,37,10,"R",44.83,53.38,"D",37,NA,7.83,NA
"3",1,1960,5,71.998,1.155657224,5.2,29.37,45.65,54.35,54.35,29.5525,39,55,10,"D",44.83,53.38,"D",NA,55,NA,1.62
"4",1,1960,5,71.998,1.155657224,5.2,29.37,45.65,54.35,54.35,29.5525,39,38,10,"R",44.83,53.38,"D",38,NA,6.83,NA
"5",2,1960,6,-17.669,0.646118152,5.2,29.54,45.65,54.35,54.35,29.5525,18.5,56,10,"D",44.83,53.38,"D",NA,56,NA,2.62
"6",2,1960,6,-17.669,0.646118152,5.2,29.54,45.65,54.35,54.35,29.5525,18.5,37,10,"R",44.83,53.38,"D",37,NA,7.83,NA
"7",2,1960,6,-17.669,0.646118152,5.2,29.54,45.65,54.35,54.35,29.5525,39,55,10,"D",44.83,53.38,"D",NA,55,NA,1.62
"8",2,1960,6,-17.669,0.646118152,5.2,29.54,45.65,54.35,54.35,29.5525,39,38,10,"R",44.83,53.38,"D",38,NA,6.83,NA
"9",3,1960,7,15.941,0.191132056,5.5,29.55,45.65,54.35,54.35,29.5525,18.5,56,10,"D",44.83,53.38,"D",NA,56,NA,2.62
"10",3,1960,7,15.941,0.191132056,5.5,29.55,45.65,54.35,54.35,29.5525,18.5,37,10,"R",44.83,53.38,"D",37,NA,7.83,NA
"11",3,1960,7,15.941,0.191132056,5.5,29.55,45.65,54.35,54.35,29.5525,39,55,10,"D",44.83,53.38,"D",NA,55,NA,1.62
"12",3,1960,7,15.941,0.191132056,5.5,29.55,45.65,54.35,54.35,29.5525,39,38,10,"R",44.83,53.38,"D",38,NA,6.83,NA
"13",4,1960,8,-42.02,-0.04223096,6.1,29.75,45.65,54.35,54.35,29.5525,18.5,56,10,"D",44.83,53.38,"D",NA,56,NA,2.62
