state,district,ave_cost,ave_ads,total_dem,total_rep
Alabama,2,236.87258687258688,518,0,122700
Alabama,6,258.3243243243243,185,3450,44340
Alaska,1,143.2647374062165,4665,476860,191470
Arizona,1,584.8476005188068,6168,3418580,188760
Arizona,2,317.9000387446726,7743,617850,1843650
Arizona,9,658.5580627407815,1817,1196600,0
Arkansas,2,371.52917505030183,497,41740,142910
California,10,583.0406198638178,8518,2430190,2536150
California,16,216.93737769080235,1022,216600,5110
California,17,1117.0619158878505,1712,1912410,0
California,20,220.37234042553192,1692,136280,236590
California,21,280.43371522094924,10998,1522350,1561860
California,24,154.36138439915672,11384,840380,916870
California,25,1341.678431372549,1275,1603870,106770
California,3,417.6119402985075,67,27980,0
California,33,272.22222222222223,9,0,2450
California,36,166.96332518337408,4090,671930,10950
California,49,436.89987725758374,11406,3005080,1978200
California,52,581.2046711739398,3254,1376750,514490
California,53,393.3333333333333,3,0,1180
California,6,654.2222222222222,45,29440,0
California,7,588.8441625679524,7726,2172120,2377290
Colorado,2,1410.95,200,282190,0
Colorado,3,463.13194444444446,7200,1960760,1373790
Colorado,5,120.78125,64,7730,0
Colorado,6,850.3476482617586,10269,4725480,4006740
Connecticut,5,627.4247491638796,598,375200,0
Delaware,1,496.5625,32,15890,0
Florida,1,463.3333333333333,6,2780,0
Florida,12,572.8888888888889,45,0,25780
Florida,13,851.6280726754542,2807,NA,NA
Florida,18,502.3007480010317,11631,2478830,3363430
Florida,25,797.8571428571429,238,0,189890
Florida,26,1027.2076430039908,8269,3753280,4740700
Florida,27,841.1804767309875,881,186580,554500
Florida,3,293.95348837209303,559,113420,50900
Florida,6,807.7858880778589,411,0,332000
Florida,7,675.8354909380602,5021,2306260,1087110
Hawaii,1,278.6363636363636,132,36780,0
Idaho,1,192.22504230118443,1182,96010,131200
Illinois,10,2082.5602116107475,7183,8444110,6514920
Illinois,12,538.6708860759494,2054,411000,695430
Illinois,13,333.8121546961326,362,0,120840
Illinois,17,245.35531135531136,1365,334910,0
Illinois,6,0,1,0,0
Illinois,8,1501.8982387475537,511,767470,0
Indiana,2,284.88794023479187,3748,344390,723370
Indiana,3,239.52662721893492,169,0,40480
Indiana,7,467.9936305732484,314,146950,0
Indiana,9,474.63645473777973,8981,2231030,2031680
Iowa,1,323.56482777933354,10713,1965810,1500540
Iowa,3,354.4074507333753,11113,NA,NA
Kansas,1,279.5222929936306,628,NA,NA
Kansas,2,366.0334029227557,479,0,175330
Kansas,3,473.1051297054808,5127,922910,1502700
Kansas,4,280.6110458284371,851,NA,NA
Kentucky,1,231.75,320,0,74160
Kentucky,6,345.93659942363115,2429,112500,727780
Louisiana,1,592.6148409893993,566,NA,NA
Louisiana,2,658.1547619047619,336,221140,0
Louisiana,3,492.6468085106383,2350,0,1157720
Louisiana,4,328.76450297899027,6378,91680,2005180
Louisiana,6,507.74378585086043,523,0,265550
Maine,1,301.08910891089107,101,0,30410
Maine,2,306.58860265417644,26901,4846550,3400990
Maryland,2,445.48556430446195,381,169730,0
Maryland,6,1788.5539488320355,899,509390,1098520
Michigan,1,220.15873015873015,315,0,69350
Michigan,11,955.8090185676392,754,93050,627630
Michigan,6,451.0286951813752,3694,670170,995930
Michigan,7,302.0436241610738,8940,1507380,1192890
Michigan,8,650.8328706274292,3602,889060,1455240
