poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,dem,rep,ind
72714,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,10/31/20,11/2/20,,"",,136472,1500,rv,,rv,,11/2/20 17:36,"",https://docs.cdn.yougov.com/jsojry0vph/econTabReport.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,48.0,39.0,
72714,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,10/31/20,11/2/20,,"",,136473,1363,lv,,lv,,11/2/20 17:36,"",https://docs.cdn.yougov.com/jsojry0vph/econTabReport.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.0,42.0,
73340,1416,HarrisX,960,The Hill,HarrisX,133,Harris Insights & Analytics,B+,Online,,10/31/20,11/2/20,,"",,137478,2813,rv,,rv,,11/28/20 21:12,"",https://blog.harrisx.com/blog/final-2020-presidential-election-polling,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,45.0,41.0,
73340,1416,HarrisX,960,The Hill,HarrisX,133,Harris Insights & Analytics,B+,Online,,10/31/20,11/2/20,,"",,137479,2297,lv,,lv,,11/28/20 21:13,"",https://blog.harrisx.com/blog/final-2020-presidential-election-polling,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,48.0,43.0,
72808,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/20/20,11/2/20,,"",,136615,5413,lv,,lv,TRUE,11/4/20 10:28,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.59,44.59,
72648,1582,John Zogby Strategies/EMI Research Solutions,"","",John Zogby Strategies/EMI Research Solutions,583,John Zogby Strategies/EMI Research Solutions,B/C,Online,,11/1/20,11/1/20,,"",,136356,1008,lv,,lv,,11/2/20 15:42,"",https://johnzogbystrategies.com/wp-content/uploads/2020/11/X1-Weighted-110120.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,46.6,44.3,
72619,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,10/30/20,11/1/20,,"",,136315,1360,lv,,lv,,11/2/20 11:57,"",https://docs.cdn.yougov.com/9uv1pif4fj/20201101_yahoo_coronavirus_tabs.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.0,43.0,
72619,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,10/30/20,11/1/20,,"",,136316,1501,rv,,rv,,11/2/20 11:57,"",https://docs.cdn.yougov.com/9uv1pif4fj/20201101_yahoo_coronavirus_tabs.pdf,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,49.0,40.0,
72601,1610,USC Dornsife,"","",University of Southern California Dornsife,343,USC Dornsife/Los Angeles Times,B/C,Online,,10/19/20,11/1/20,,"",,136282,5372,lv,,lv,TRUE,11/2/20 08:25,probabilistic voting question,https://election.usc.edu/,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,52.34,44.77,
72486,1292,Hart Research Associates/Public Opinion Strategies,"132,276",NBC News | Wall Street Journal,Hart Research Associates/Public Opinion Strategies,221,NBC News/The Wall Street Journal,B+,Live Phone,,10/29/20,10/31/20,,"",,136033,1000,rv,,rv,,11/1/20 09:14,"",https://www.documentcloud.org/documents/7280263-200986-NBCWSJ-Late-October-Poll.html,538,false,,8274,2020,U.S. House,,Generic,11/3/20,general,false,48.0,43.0,
